Node caption	Entailment Unit	EU_id					Node_check	Comments
								
collapsed node #1 : 1 entailment unit(s) before editing							OK	better taxi service
	better taxi service	[461540.txt_4_1]						
								
collapsed node #2 : 1 entailment unit(s) before editing							OK	not a leisurely trip
	ruins the notion of a leisurely trip	[52781.txt_12_1]						
								
collapsed node #3 : 1 entailment unit(s) before editing							OK	better taxi service, at the other end
	better taxi service at the other end	[461540.txt_4_0]						
								
collapsed node #4 : 1 entailment unit(s) before editing							OK	not a leisurely trip, absolutely
	Absolutely ruins the notion of a leisurely trip	[52781.txt_12_0]						
								
collapsed node #5 : 1 entailment unit(s) before editing							OK	simple, first aid kit
	simple first aid kit	[179281.txt_2_2]						
								
collapsed node #6 : 1 entailment unit(s) before editing							OK	first aid kit
	first aid kit	[179281.txt_2_3]						
								
collapsed node #7 : 1 entailment unit(s) before editing							OK	smoking area
	I would like a smoking area	[522262.txt_1_0]						
								
collapsed node #8 : 1 entailment unit(s) before editing							OK	first aid kit, Stars Bridge station
	first aid kit at Stars Bridge station	[179281.txt_2_1]						
								
collapsed node #9 : 1 entailment unit(s) before editing							OK	simple, first aid kit, Stars Bridge station
	simple first aid kit at Stars Bridge station	[179281.txt_2_0]						
								
collapsed node #10 : 1 entailment unit(s) before editing							OK	more connections
	You should have more connections	[92454.txt_5_1]						
								
collapsed node #11 : 1 entailment unit(s) before editing							OK	taxi service, quasigo
	taxi service through Quasigo not available	[193822.txt_4_0]						
								
collapsed node #12 : 1 entailment unit(s) before editing							OK	taxi service
	taxi service not available	[193822.txt_4_1]						
								
collapsed node #13 : 1 entailment unit(s) before editing							OK	more connections, europe
	You should have more connections into europe	[92454.txt_5_0]						
								
								
Source	#EU in src	->	Target	#EU in tgt	Decision	#FG edges	Decision_new	Comments
								
node pair #1:								
better taxi service	1	->	ruins the notion of a leisurely trip	1	No	0	0	
ruins the notion of a leisurely trip	1	->	better taxi service	1	No	0	0	
								
node pair #2:								
better taxi service at the other end	1	->	better taxi service	1	Yes	1	1	
better taxi service	1	->	better taxi service at the other end	1	No		0	
								
node pair #3:								
