69	13	1
13	69	1
19	68	1
68	19	1
30	10	1
10	30	1
52	40	1
40	52	1
35	9	1
9	35	1
43	8	1
8	43	1
41	13	1
13	41	1
45	64	1
64	45	1
6	23	1
23	6	1
37	56	1
56	37	1
57	57	1
57	57	1
40	51	1
51	40	1
33	48	1
48	33	1
8	52	1
52	8	1
52	46	1
46	52	1
33	46	1
46	33	1
53	49	1
49	53	1
14	18	1
18	14	1
49	14	1
14	49	1
8	8	1
8	8	1
19	52	1
52	19	1
58	8	1
8	58	1
59	13	1
13	59	1
19	40	1
40	19	1
35	29	1
29	35	1
69	48	1
48	69	1
30	48	1
48	30	1
69	7	1
7	69	1
39	50	1
50	39	1
14	48	1
48	14	1
10	8	1
8	10	1
1	1	1
1	1	1
69	46	1
46	69	1
59	67	1
67	59	1
31	32	1
32	31	1
56	9	1
9	56	1
50	70	1
70	50	1
35	25	1
25	35	1
52	26	1
26	52	1
53	56	1
56	53	1
23	23	1
23	23	1
57	49	1
49	57	1
49	7	1
7	49	1
34	9	1
9	34	1
53	47	1
47	53	1
40	68	1
68	40	1
44	49	1
49	44	1
18	29	1
29	18	1
34	48	1
48	34	1
57	36	1
36	57	1
40	40	1
40	40	1
57	44	1
44	57	1
28	62	1
62	28	1
4	2	1
2	4	1
1	46	1
46	1	1
26	48	1
48	26	1
53	68	1
68	53	1
1	23	1
23	1	1
47	13	1
13	47	1
13	52	1
52	13	1
48	28	1
28	48	1
31	28	1
28	31	1
56	56	1
56	56	1
6	56	1
56	6	1
27	7	1
7	27	1
46	50	1
50	46	1
43	26	1
26	43	1
1	52	1
52	1	1
51	68	1
68	51	1
66	51	1
51	66	1
30	30	1
30	30	1
3	48	1
48	3	1
61	18	1
18	61	1
20	31	1
31	20	1
52	50	1
50	52	1
69	24	1
24	69	1
55	68	1
68	55	1
10	49	1
49	10	1
69	25	1
25	69	1
25	14	1
14	25	1
19	5	1
5	19	1
50	48	1
48	50	1
9	70	1
70	9	1
43	51	1
51	43	1
7	68	1
68	7	1
58	24	1
24	58	1
65	40	1
40	65	1
22	52	1
52	22	1
3	64	1
64	3	1
31	7	1
7	31	1
38	68	1
