Node caption	Entailment Unit	EU_id					Node_check	Comments
								
collapsed node #1 : 6 entailment unit(s) before editing								
	New updated train would be nice	[433561.txt_1_0]						
	Time for the trains to be updated	[215790.txt_1_0]						
	modernize the train	[72187.txt_1_0]						
	trains could use some updating	[106746.txt_1_0]						
	trains need refurbishment	[273791.txt_3_0]						
								
collapsed node #2 : 1 entailment unit(s) before editing								
	trains are quite shabby	[273791.txt_2_0]						
								
collapsed node #3 : 1 entailment unit(s) before editing								
	consider an adults only quiet coach	[493530.txt_4_0]						
								
collapsed node #4 : 1 entailment unit(s) before editing								
	have quiet coaches	[440663.txt_9_0]						
								
collapsed node #5 : 1 entailment unit(s) before editing								
	trains are shabby	[273791.txt_2_1]						
								
collapsed node #6 : 2 entailment unit(s) before editing								
	Quasigo is filthy	[190617.txt_1_0]						
	The Quasigo train was dirty	[142421.txt_7_1]						
								
collapsed node #7 : 1 entailment unit(s) before editing								
	Quasigo is horrible	[190617.txt_2_0]						
								
collapsed node #8 : 1 entailment unit(s) before editing								
	Appalling crush to board train	[52781.txt_9_0]						
								
collapsed node #9 : 1 entailment unit(s) before editing								
	The interior of the train could be modernised	[401238.txt_7_0]						
								
collapsed node #10 : 1 entailment unit(s) before editing								
	The trains are badly lit	[440557.txt_2_0]						
								
collapsed node #11 : 1 entailment unit(s) before editing								
	The trains are drab	[440557.txt_1_0]						
								
collapsed node #12 : 1 entailment unit(s) before editing								
	The decor is pretty depressing	[440557.txt_5_0]						
								
collapsed node #13 : 1 entailment unit(s) before editing								
	The decor is depressing	[440557.txt_5_1]						
								
collapsed node #14 : 1 entailment unit(s) before editing								
	The Quasigo train was very tatty	[142421.txt_8_0]						
								
collapsed node #15 : 1 entailment unit(s) before editing								
	The Quasigo train was tatty	[142421.txt_8_1]						
								
collapsed node #16 : 1 entailment unit(s) before editing								
	Cleaner interior	[522350.txt_1_0]						
								
collapsed node #17 : 1 entailment unit(s) before editing								
	train too often delays	[109435.txt_4_0]						
								
collapsed node #18 : 1 entailment unit(s) before editing								
	train delays	[109435.txt_4_1]						
								
collapsed node #19 : 2 entailment unit(s) before editing								
	Complete rip off	[169586.txt_4_0]						
	Zero value for money	[169586.txt_3_0]						
								
collapsed node #20 : 1 entailment unit(s) before editing								
	The Quasigo train was very dirty	[142421.txt_7_0]						
								
collapsed node #21 : 1 entailment unit(s) before editing								
	rip off	[169586.txt_4_1]						
								
								
Source	#EU in src	->	Target	#EU in tgt	Decision	#FG edges	Decision_new	Comments
								
node pair #1:								
trains are quite shabby	1	->	modernize the train	6	Yes	0	1	
modernize the train	6	->	trains are quite shabby	1	No	0	0	
								
node pair #2:								
modernize the train	6	->	consider an adults only quiet coach	1	No	0	0	
consider an adults only quiet coach	1	->	modernize the train	6	No	0	0	
								
node pair #3:								
modernize the train	6	->	have quiet coaches	1	No	0	0	
have quiet coaches	1	->	modernize the train	6	No	0	0	
								
node pair #4:								
trains are shabby	1	->	modernize the train	6	Yes	0	1	
modernize the train	6	->	trains are shabby	1	No	0	0	
								
node pair #5:								
modernize the train	6	->	Quasigo is filthy	2	No	0	0	
Quasigo is filthy	2	->	modernize the train	6	No	0	0	
								
node pair #6:								
modernize the train	6	->	Quasigo is horrible	1	No	0	0	
Quasigo is horrible	1	->	modernize the train	6	No	0	0	
								
node pair #7:								
modernize the train	6	->	Appalling crush to board train	1	No	0	0	
Appalling crush to board train	1	->	modernize the train	6	No	0	0	
								
node pair #8:								
The interior of the train could be modernised	1	->	modernize the train	6	Yes	0	1	
modernize the train	6	->	The interior of the train could be modernised	1	No	0	0	
								
node pair #9:								
modernize the train	6	->	The trains are badly lit	1	No	0	0	
The trains are badly lit	1	->	modernize the train	6	No	0	0	
								
node pair #10:								
modernize the train	6	->	The trains are drab	1	No	0	0	
The trains are drab	1	->	modernize the train	6	No	0	1	
								
node pair #11:								
modernize the train	6	->	The decor is pretty depressing	1	No	0	0	
The decor is pretty depressing	1	->	modernize the train	6	No	0	1	
								
node pair #12:								
modernize the train	6	->	The decor is depressing	1	No	0	0	
The decor is depressing	1	->	modernize the train	6	No	0	1	
								
node pair #13:								
The Quasigo train was very tatty	1	->	modernize the train	6	Yes	0	1	
modernize the train	6	->	The Quasigo train was very tatty	1	No	0	0	
								
node pair #14:								
The Quasigo train was tatty	1	->	modernize the train	6	Yes	0	1	
modernize the train	6	->	The Quasigo train was tatty	1	No	0	0	
								
node pair #15:								
modernize the train	6	->	Cleaner interior	1	No	0	0	
Cleaner interior	1	->	modernize the train	6	No	0	0	
								
node pair #16:								
modernize the train	6	->	train too often delays	1	No	0	0	
train too often delays	1	->	modernize the train	6	No	0	0	
								
node pair #17:								
modernize the train	6	->	train delays	1	No	0	0	
train delays	1	->	modernize the train	6	No	0	0	
								
node pair #18:								
modernize the train	6	->	Complete rip off	2	No	0	0	
Complete rip off	2	->	modernize the train	6	No	0	0	
								
node pair #19:								
modernize the train	6	->	The Quasigo train was very dirty	1	No	0	0	
The Quasigo train was very dirty	1	->	modernize the train	6	No	0	0	
								
node pair #20:								
modernize the train	6	->	rip off	1	No	0	0	
rip off	1	->	modernize the train	6	No	0	0	
								
node pair #21:								
trains are quite shabby	1	->	consider an adults only quiet coach	1	No	0	0	
consider an adults only quiet coach	1	->	trains are quite shabby	1	No	0	0	
								
node pair #22:								
trains are quite shabby	1	->	have quiet coaches	1	No	0	0	
have quiet coaches	1	->	trains are quite shabby	1	No	0	0	
								
node pair #23:								
trains are quite shabby	1	->	trains are shabby	1	Yes	1	1	
trains are shabby	1	->	trains are quite shabby	1	No	-1	0	
								
node pair #24:								
trains are quite shabby	1	->	Quasigo is filthy	2	No	0	0	
Quasigo is filthy	2	->	trains are quite shabby	1	No	0	0	
								
node pair #25:								
trains are quite shabby	1	->	Quasigo is horrible	1	No	0	0	
Quasigo is horrible	1	->	trains are quite shabby	1	No	0	0	
								
node pair #26:								
trains are quite shabby	1	->	Appalling crush to board train	1	No	0	0	
Appalling crush to board train	1	->	trains are quite shabby	1	No	0	0	
								
node pair #27:								
trains are quite shabby	1	->	The interior of the train could be modernised	1	No	0	0	
The interior of the train could be modernised	1	->	trains are quite shabby	1	No	0	0	
								
node pair #28:								
trains are quite shabby	1	->	The trains are badly lit	1	No	0	0	
The trains are badly lit	1	->	trains are quite shabby	1	No	0	0	
								
node pair #29:								
trains are quite shabby	1	->	The trains are drab	1	No	0	0	
The trains are drab	1	->	trains are quite shabby	1	No	0	0	
								
node pair #30:								
trains are quite shabby	1	->	The decor is pretty depressing	1	No	0	0	
The decor is pretty depressing	1	->	trains are quite shabby	1	No	0	0	
								
node pair #31:								
trains are quite shabby	1	->	The decor is depressing	1	No	0	0	
The decor is depressing	1	->	trains are quite shabby	1	No	0	0	
								
node pair #32:								
The Quasigo train was very tatty	1	->	trains are quite shabby	1	Yes	0	1	
trains are quite shabby	1	->	The Quasigo train was very tatty	1	No	0	0	
								
node pair #33:								
trains are quite shabby	1	->	The Quasigo train was tatty	1	No	0	0	
The Quasigo train was tatty	1	->	trains are quite shabby	1	No	0	0	
								
node pair #34:								
trains are quite shabby	1	->	Cleaner interior	1	No	0	0	
Cleaner interior	1	->	trains are quite shabby	1	No	0	0	
								
node pair #35:								
trains are quite shabby	1	->	train too often delays	1	No	0	0	
train too often delays	1	->	trains are quite shabby	1	No	0	0	
								
node pair #36:								
trains are quite shabby	1	->	train delays	1	No	0	0	
train delays	1	->	trains are quite shabby	1	No	0	0	
								
node pair #37:								
trains are quite shabby	1	->	Complete rip off	2	No	0	0	
Complete rip off	2	->	trains are quite shabby	1	No	0	0	
								
node pair #38:								
trains are quite shabby	1	->	The Quasigo train was very dirty	1	No	0	0	
The Quasigo train was very dirty	1	->	trains are quite shabby	1	No	0	0	
								
node pair #39:								
trains are quite shabby	1	->	rip off	1	No	0	0	
rip off	1	->	trains are quite shabby	1	No	0	0	
								
node pair #40:								
consider an adults only quiet coach	1	->	have quiet coaches	1	Yes	0	1	
have quiet coaches	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #41:								
consider an adults only quiet coach	1	->	trains are shabby	1	No	0	0	
trains are shabby	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #42:								
consider an adults only quiet coach	1	->	Quasigo is filthy	2	No	0	0	
Quasigo is filthy	2	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #43:								
consider an adults only quiet coach	1	->	Quasigo is horrible	1	No	0	0	
Quasigo is horrible	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #44:								
consider an adults only quiet coach	1	->	Appalling crush to board train	1	No	0	0	
Appalling crush to board train	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #45:								
consider an adults only quiet coach	1	->	The interior of the train could be modernised	1	No	0	0	
The interior of the train could be modernised	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #46:								
consider an adults only quiet coach	1	->	The trains are badly lit	1	No	0	0	
The trains are badly lit	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #47:								
consider an adults only quiet coach	1	->	The trains are drab	1	No	0	0	
The trains are drab	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #48:								
consider an adults only quiet coach	1	->	The decor is pretty depressing	1	No	0	0	
The decor is pretty depressing	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #49:								
consider an adults only quiet coach	1	->	The decor is depressing	1	No	0	0	
The decor is depressing	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #50:								
consider an adults only quiet coach	1	->	The Quasigo train was very tatty	1	No	0	0	
The Quasigo train was very tatty	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #51:								
consider an adults only quiet coach	1	->	The Quasigo train was tatty	1	No	0	0	
The Quasigo train was tatty	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #52:								
consider an adults only quiet coach	1	->	Cleaner interior	1	No	0	0	
Cleaner interior	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #53:								
consider an adults only quiet coach	1	->	train too often delays	1	No	0	0	
train too often delays	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #54:								
consider an adults only quiet coach	1	->	train delays	1	No	0	0	
train delays	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #55:								
consider an adults only quiet coach	1	->	Complete rip off	2	No	0	0	
Complete rip off	2	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #56:								
consider an adults only quiet coach	1	->	The Quasigo train was very dirty	1	No	0	0	
The Quasigo train was very dirty	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #57:								
consider an adults only quiet coach	1	->	rip off	1	No	0	0	
rip off	1	->	consider an adults only quiet coach	1	No	0	0	
								
node pair #58:								
have quiet coaches	1	->	trains are shabby	1	No	0	0	
trains are shabby	1	->	have quiet coaches	1	No	0	0	
								
node pair #59:								
have quiet coaches	1	->	Quasigo is filthy	2	No	0	0	
Quasigo is filthy	2	->	have quiet coaches	1	No	0	0	
								
node pair #60:								
have quiet coaches	1	->	Quasigo is horrible	1	No	0	0	
Quasigo is horrible	1	->	have quiet coaches	1	No	0	0	
								
node pair #61:								
have quiet coaches	1	->	Appalling crush to board train	1	No	0	0	
Appalling crush to board train	1	->	have quiet coaches	1	No	0	0	
								
node pair #62:								
have quiet coaches	1	->	The interior of the train could be modernised	1	No	0	0	
The interior of the train could be modernised	1	->	have quiet coaches	1	No	0	0	
								
node pair #63:								
have quiet coaches	1	->	The trains are badly lit	1	No	0	0	
The trains are badly lit	1	->	have quiet coaches	1	No	0	0	
								
node pair #64:								
have quiet coaches	1	->	The trains are drab	1	No	0	0	
The trains are drab	1	->	have quiet coaches	1	No	0	0	
								
node pair #65:								
have quiet coaches	1	->	The decor is pretty depressing	1	No	0	0	
The decor is pretty depressing	1	->	have quiet coaches	1	No	0	0	
								
node pair #66:								
